doi,title,authors,category,fetch_date,verdict,confidence,super_category,sub_category,reason
10.64898/2026.05.04.722458,An isogenic single-cell atlas of familial Parkinson's disease mutations reveals convergent changes in dopamine neurons,"Syed, K. M.; Dunnack, J.; Paatz, S.; Ajjarapu, K.; Sahagun, A.; Rio, D.; Soldner, F.; Bateup, H.; Hockemeyer, D.",genomics,2026-05-06,RELEVANT,HIGH,resource,dataset,"Large-scale isogenic scRNA-seq atlas of 200,000+ hPSC-derived cells across 14 familial PD mutations; raw measurement scale and curation as benchmarking resource."
10.64898/2026.05.03.722489,AnnotateMissense: a genome-wide annotation and benchmarking framework for missense pathogenicity prediction,"Muneeb, M.; Ascher, D. B.",bioinformatics,2026-05-04,RELEVANT,HIGH,computational,software_tool,Scalable annotation and prediction framework integrating existing methods and data sources for genome-wide missense variant interpretation.
10.64898/2026.04.30.721814,Automated Multimodal Correlative Registration for Organelle-Specific Molecular Imaging,"Lu, C.; ZHAO, K.; Cui, D.; Chen, G.; Yang, Q.; Yang, H.; Zhao, M.; Song, K.; Nikan, M.; Li, Z.; Zhao, S.; Cen, J.; Qiu, X.; Young, S.; Bennett, C. F.; Seth, P.; Chen, K.; Qi, X.; Jiang, H.",bioinformatics,2026-05-04,RELEVANT,HIGH,computational,software_tool,AI-driven automated pipeline integrating image registration and alignment for correlative microscopy workflows in single-cell/subcellular analysis.
10.64898/2026.05.01.722166,Building computational benchmarks: an Omnibenchmark reimplementation of a single-cell preprocessing pipeline evaluation,"Choudhury, A.; Kitak, T.; Carrillo, B.; Busch, P.; Emons, M.; Gunz, S.; Koderman, M.; Luo, S.; Mallona, I.; Meara, A.; Wissel, D.; Robinson, M. D.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,benchmark,Systematic evaluation framework comparing five scRNA-seq preprocessing pipelines using standardized metrics and datasets.
10.64898/2025.12.22.695891,CAD-C: An engineered nuclease enables repair-free in situ proximity ligation and nucleosome-resolution chromosome walks in human cells,"Soroczynski, J.; Westcott, L. A.; Zuo, W.; Ou, A.; Canaj, H.; Hickling, J.; Yeung, J. L.; Konishi, H. A.; Campbell, E. B.; Whelan, C.; Balacco, J.; Formenti, G.; Risca, V. I.",genomics,2026-05-04,RELEVANT,HIGH,experimental,new_technology,Novel engineered nuclease (CAD) enabling improved chromatin conformation capture with repair-free ligation chemistry.
10.64898/2026.04.30.721796,Cell Type Weighted Dimensionality Reduction,"Putta, S.; Jensen, W.; Devakonda, S.; Pennell, L.; Croteau, J.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,new_algorithm,Novel supervised dimensionality reduction method integrating cell type information to improve visualization separation in single-cell data.
10.1101/2024.03.15.585250,Celldetective: an AI-enhanced image analysis tool for unraveling dynamic cell interactions,"Torro, R.; Diaz Bello, B.; El Arawi, D.; Dervanova, K.; Ammer, L.; Dupuy, F.; Chames, P.; Sengupta, K.; Limozin, L.",bioinformatics,2026-05-04,RELEVANT,HIGH,computational,software_tool,"End-to-end Python framework integrating AI segmentation, tracking, and single-cell analysis for microscopy data workflows."
10.64898/2026.04.30.720820,Clonal embeddings allow exploratory analysis of lineage-resolved single-cell data,"Isaev, S.; Erickson, A. G.; Adameyko, I.; Kharchenko, P. V.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,new_algorithm,Machine learning method (clone2vec) learns clone embeddings from expression data for lineage-resolved scRNA-seq analysis.
10.64898/2026.04.30.721861,Clustering Strategies Improve Structure-Preserving Visualization of Single-Cell RNA-seq Data with CBMAP,"Alchaar, M.; Dogan, B.",bioinformatics,2026-05-04,RELEVANT,HIGH,computational,benchmark,"Systematic quantitative comparison of CBMAP with clustering variants against UMAP, t-SNE, and PaCMAP using standardized metrics."
10.64898/2026.05.01.722123,Combinatorial epigenomic patterns define regulatory programs underlying disease heterogeneity,"Shim, W. J.; Bao, S. C.; Chow, C. S. Y.; Mizikovsky, D.; Shen, S.; Riedlshah, Z.; Zhao, Q.; Boden, M.; Palpant, N.",genomics,2026-05-05,RELEVANT,HIGH,computational,new_algorithm,Novel ML framework (EpiCops) modeling modular epigenomic regulation and disease-associated variants.
10.64898/2026.04.29.721692,DPLM: Dynamics-aware Protein Language Model via contrastive learning between sequence and molecular dynamics simulation trajectory,"Jiang, Y.; Wang, D.; Imam, I. A.; Xu, D.; Shao, Q.",bioinformatics,2026-05-04,RELEVANT,HIGH,computational,foundation_model,Pre-trained protein language model designed for transfer learning across multiple downstream protein prediction tasks.
10.64898/2026.04.23.720468,Defining Cell Types through Maximally Informative Biological Atlases,"Wollman, R.",systems-biology,2026-05-04,RELEVANT,HIGH,computational,new_algorithm,Information-theoretic framework for optimizing cell-type classification by maximizing spatial informativeness using entropy principles.
10.64898/2026.04.29.721568,Do Larger Models Really Win in Drug Discovery?A Benchmark Assessment of Model Scaling in AI-Driven Molecular Property and Activity Prediction,"Guo, J.",bioinformatics,2026-05-04,RELEVANT,HIGH,computational,benchmark,"Systematic quantitative comparison of multiple model classes (classical ML, GNNs, foundation models) on standardized molecular property and activity prediction tasks."
10.64898/2026.05.02.722054,DoFormer: Causal Transformer for Gene Perturbation,"Karbalayghareh, A.; Paull, E.; Califano, A.",bioinformatics,2026-05-04,RELEVANT,HIGH,computational,new_algorithm,Novel causal transformer architecture using do-operator in attention mechanism for perturbation prediction from single-cell data.
10.64898/2026.05.01.722168,Fast and Ultra-Capable Protein Design: Advancing the Frontier Through Atomistic SE(3)-Equivariance with Genie 3,"Lin, Y.; Lee, M.; Vermani, A.; Jiang, E.; De Cooman, S.; Spetko, M.; AlQuraishi, M.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,new_algorithm,"Novel diffusion model with SE(3)-equivariant architecture for protein design, advancing generative methodology."
10.64898/2026.05.01.722303,First Survey of Publicly Available Metagenomic Sequencing Data Across 24 Middle Eastern and North African Countries: The MENA Microbiome Database,"Mathlouthi, N. E. H.; Gdoura-Ben Amor, M.; Belguith, I.; Derouich, R.; Ammar Keskes, L.; Gdoura, R.",bioinformatics,2026-05-06,RELEVANT,HIGH,resource,infrastructure,"Curated database and portal aggregating, harmonizing, and providing access to publicly available metagenomic data."
10.64898/2026.01.27.702015,GENERator-v2: Reconciling Coarse Tokenization with Single-Nucleotide Resolution in Genomic Language Modeling,"Li, Q.; Zhan, Z.; Feng, S.; Zhu, Y.; He, Y.; Wu, W.; Shi, Z.; Wang, S.; Hu, Z.; Yang, Z.; Li, J.; Tang, J.; Liu, H.; Qin, T.",genomics,2026-05-04,RELEVANT,HIGH,computational,foundation_model,Large pre-trained genomic language model designed for transfer learning and general-purpose sequence understanding across biological tasks.
10.1101/2025.08.05.668773,Genome-wide chromatin recording resolves dynamic cell state changes,"Takei, Y.; Lay, J. A.; Linton, J. M.; Chadly, D. M.; Ochiai, Y.; Hadas, R.; Perez, A. A.; Blanco, M. R.; Laurino, P.; Guttman, M.; Elowitz, M. B.",genomics,2026-05-04,RELEVANT,HIGH,experimental,new_technology,Novel molecular approach using bacterial methyltransferase fusions to record and recover historical chromatin states in single cells.
10.64898/2026.04.30.721875,Guidance for high-quality functional gene embeddings from large language models,"Huang, R.; Hou, Y.; Zhao, W.; Zhang, J.; Lu, J.; Kong, Y.; Xu, P.",bioinformatics,2026-05-04,RELEVANT,HIGH,computational,benchmark,Systematic evaluation framework comparing LLM prompting strategies and architectures for gene embeddings across standardized tasks.
10.64898/2026.04.09.717444,IMAS enables target-aware integration of tumour multiomics to resolve communication-guided regulatory mechanisms,"Deyang, W.; Yamashiro, T.; Inubushi, T.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,new_algorithm,Novel integrative framework combining latent-space modelling and domain adaptation for multiomic data analysis and regulatory network inference.
10.64898/2026.04.30.721783,In vivo BMAL1 occupancy mapping using MACS-Calling Cards reveals disease-associated retargeting in Cln3Δex7/8 astrocytes,"Reiss, I. H.; Cooper, J. D.; Musiek, E. S.; Mitra, R. D.",genomics,2026-05-05,RELEVANT,HIGH,experimental,new_technology,"Develops MACS-Calling Cards, a novel in vivo method for cell-type-specific transcription factor occupancy mapping in brain tissue."
10.64898/2026.04.28.720212,JUMPlion improves quantitative DIA proteomics through ion-level recovery of missing values,"Fu, Y.; Yuan, Z.-F.; Byrum, S. D.; Wu, L.; Peng, J.; Wang, X.; High, A. A.",bioinformatics,2026-05-01,RELEVANT,HIGH,computational,new_algorithm,Novel statistical/computational method for recovering missing values in DIA proteomics through ion-level inference and signal re-extraction.
10.64898/2026.04.29.721672,"MOSAIC: Model-based, Subgroup-Aware Identification of Driver Mutations in Cancer","Campbell, K.; Reyna, M. A.",bioinformatics,2026-05-03,RELEVANT,HIGH,computational,new_algorithm,Novel statistical framework for detecting mutual exclusivity patterns while accounting for patient subgroup heterogeneity in cancer genomics.
10.64898/2026.05.01.722242,Massively parallel reporter assay-informed modeling improves prediction of context-specific enhancer-gene regulatory interactions,"DeGroat, W.; Kreimer, A.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,new_algorithm,Novel machine learning model integrating MPRA data and regulatory features to predict cell-type-specific enhancer-gene interactions.
10.64898/2026.05.01.722104,MilliMap: interactive closed-loop analysis for spatial omics,"Feng, Q.; Qian, S. B.; Wan, J.; Starr, Z. R.; Asif, S.; Han, H.-S.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,software_tool,Interactive framework integrating statistical analysis and spatial visualization for omics workflows.
10.1101/2025.02.19.638723,MolGene-E: Inverse Molecular Design to Modulate Single Cell Transcriptomics,"Ohlan, R.; Murugan, R.; Xie, L.; Nallabolu, V.; Mottaqi, M.; Zhang, S.; Xie, L.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,new_algorithm,Novel deep generative framework combining cross-modal harmonization and contrastive learning for molecule design from transcriptomics.
10.1101/2025.02.08.637184,"Multi-sample, multi-platform isoform quantification using empirical Bayes","Talukder, A.; Thavarekere, S.; Mehlferber, M.; Sheynkman, G. M.; Knowles, D. A.",bioinformatics,2026-05-04,RELEVANT,HIGH,computational,new_algorithm,"Novel hierarchical empirical Bayes model for multi-sample, multi-platform isoform quantification integrating short and long-read data."
10.64898/2026.04.29.721598,NeuroCDS: Integrating Local and Global Neural Network Representations via Structural Constrained Viterbi Decoding for Robust CDS Annotation,"Mei, Z.; Xie, Z.; Wu, L.; Wei, C.",bioinformatics,2026-05-02,RELEVANT,HIGH,computational,new_algorithm,Novel algorithm combining CNN/TCN representations with constrained Viterbi decoding for CDS annotation.
10.64898/2026.04.29.720033,OmniAge: a compendium of aging omic biomarkers links mitotic clocks to clonal hematopoiesis and causality,"Du, Z.; Ling, Y.; Tong, H.; Guo, X.; Teschendorff, A. E.",bioinformatics,2026-05-01,RELEVANT,HIGH,resource,infrastructure,"OmniAge is a curated compendium and software package providing access to 413 aging biomarkers across categories, enabling standardized evaluation and comparison."
10.64898/2026.05.05.722311,PEPR-GNN: Perturbation-Enhancer-Promoter-RNA Graph Neural Networks for Multiome Perturb-Seq modeling of regulomes,"Markham, Z. E.; Li, B.; Nguyen, L.; Wang, L.; Munshi, N. V.; Hon, G. C.",genomics,2026-05-06,RELEVANT,HIGH,computational,new_algorithm,Novel GNN-based framework modeling perturbation-enhancer-promoter interactions to predict regulome responses.
10.64898/2026.04.29.721330,PEXMap: A proteogenomic method for exon and isoform level mapping of mass spectrometry derived peptides,"Awasthi, D.; Verma, P.; Pandit, S. B.",systems-biology,2026-05-04,RELEVANT,HIGH,computational,software_tool,Proteogenomic software pipeline mapping mass spectrometry peptides to exons and isoforms using k-mer matching.
10.64898/2026.05.02.721360,PhenotypeToGeneDownloaderR: automated multi-source retrieval and validation of phenotype-associated genes,"Muneeb, M.; Ascher, D. B.",bioinformatics,2026-05-06,RELEVANT,HIGH,computational,software_tool,"R/Python pipeline for automated gene retrieval and harmonization across heterogeneous databases, emphasizing engineering and workflow integration."
10.1101/2025.10.31.685149,Preferential CDR masking in paired antibody language models improves binding affinity prediction,"Talaei, M.; Walker, K. C.; Hao, B.; Jolley, E.; Jin, Y.; Kozakov, D.; Misasi, J.; Vajda, S.; Paschalidis, I. C.; Joseph-McCarthy, D.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,foundation_model,Pre-trained protein language model on 1.6 million paired antibody sequences designed for transfer to binding affinity prediction.
10.64898/2026.04.28.721394,"Pulmonary Hypertension Engine for Linked Experiments (PHELEX): a platform for the re-analysis of public transcriptomic data related to pulmonary hypertension in both animal models, and humans.","Nandani, T.; Ott, B. P.; Balaratnam, P.; Archer, S. L.; Durbin, J.; Hindmarch, C. C. T.",genomics,2026-05-01,RELEVANT,HIGH,resource,infrastructure,"Data portal and query platform enabling search, access, and re-analysis of public transcriptomic datasets with integrated analysis tools."
10.64898/2026.04.29.721707,Rapid phylogenomic analysis for viral surveillance and metagenomic profiling with Omni2Tree,"Majidian, S.; Chalco, A.; Zheng, X.; Webby, R. J.; Bowman, A. S.; Poulson, R. L.; Nemeth, N. M.; Sedlazeck, F. J.; Agustinho, D. P.",bioinformatics,2026-05-01,RELEVANT,HIGH,computational,software_tool,Assembly-free phylogenomic analysis framework converting raw sequencing data into phylogenies and reports for viral surveillance.
10.64898/2026.04.28.721395,Reconstructing True 3D Spatial Omics at Single-Cell Resolution,"Yang, Y.; Luo, Y.; Zhang, K.; Bu, Y.; Xia, Z.; Peng, H.; Yan, R.; Liu, Q.; Chen, Y.; Shen, L.; Chen, E.",bioinformatics,2026-05-01,RELEVANT,HIGH,computational,new_algorithm,Novel optimal transport flow matching algorithm for 3D spatial reconstruction from 2D slices; mathematical contribution is the headline.
10.64898/2026.01.15.699695,Reconstructing clone-resolved transcriptional programs from bulk tumor sequencing,"Lai, J.; Yang, Y.; Noller, K.; Liu, Y.; Balan, A.; Nagendra, P.; Kagohara, L. T.; Fertig, E. J.; Wood, L. D.; Karchin, R.",genomics,2026-05-04,RELEVANT,HIGH,computational,new_algorithm,Novel probabilistic framework integrating clonal phylogenies with bulk RNA-seq to infer clone-specific transcriptional programs.
10.64898/2026.04.29.721088,Reference-Based Library Construction Improves Performance in low-input diaPASEF Workflows,"Charkow, J.; Ghaznavi, M.; Seale, B.; Peng, J.; Gingras, A.-C.; Rost, H.",bioinformatics,2026-05-04,RELEVANT,HIGH,experimental,protocol_optimization,Optimization of library construction strategy for low-input mass spectrometry proteomics workflows without introducing new chemistry.
10.64898/2026.05.01.722142,Revealing the Hidden Landscape of Public Metabolomics Data Reuse in MetaboLights,"Karaman, I.; Payne, T.; Vizcaino, J. A.",bioinformatics,2026-05-05,RELEVANT,HIGH,resource,infrastructure,Analysis of a major metabolomics data repository (MetaboLights) and standardized dataset citation practices to improve data reuse traceability.
10.64898/2026.04.29.721691,Robust identification of cell-cell communication heterogeneity in single cells,"Bocci, F.; Jia, Y.; Atwood, S.; Nie, Q.",bioinformatics,2026-05-04,RELEVANT,HIGH,computational,new_algorithm,Framework integrating mathematical modeling and learning strategies to infer cell-cell communication from single-cell/spatial transcriptomics data.
10.64898/2026.05.01.722244,STAT: A multi-agent framework for integrated and interactive spatial transcriptomics analysis,"Chen, Y.; Han, S.; Chao, Z.; Liu, Y.; Chen, H.; Wang, J.; Xiao, J.; Yang, C.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,software_tool,Interactive framework integrating spatial transcriptomics workflows with user-friendly interface and staging pipeline design.
10.64898/2026.04.23.720294,"Semi supervised GAN for smart microscopy, fast and data efficient cell cycle classification","Manick, R.; El Habouz, Y.; Guillout, M.; Martin, C.; Bonnet, J.; Ruel, L.; Pastezeur, S.; Chanteux, O.; Bouchareb, O.; Tramier, M.; Pecreaux, J.",bioinformatics,2026-05-04,RELEVANT,HIGH,computational,new_algorithm,Novel semi-supervised GAN approach for cell-cycle classification with emphasis on data efficiency and model generalization.
10.64898/2026.02.06.704469,"SenNet Portal: Build, Optimization and Usage","Borner, K.; Blood, P. D.; Silverstein, J. C.; Ruffalo, M.; Satija, R.; Gehlenborg, N.; Honick, B.; Bueckle, A.; Jain, Y.; Qaurooni, D.; Shirey, B.; Sibilla, M.; Metis, K.; Bisciotti, J.; Morgan, R. S.; Betancur, D.; Sablosky, G. R.; Turner, M. L.; Kim, S.-J.; Lee, P. J.; Bartz, J.; Domanskyi, S.; Peters, S. T.; Enninful, A.; Farzad, N.; Fan, R.; SenNet Team,  ; Herr, B. W.",bioinformatics,2026-05-04,RELEVANT,HIGH,resource,infrastructure,Data portal providing open access to harmonized multimodal single-cell and spatial omics datasets with standardized protocols and analytical tools.
10.64898/2026.05.01.722313,Simple baselines rival protein language models in mutation-dense design tasks,"Talpir, I.; Fleishman, S. J.",bioinformatics,2026-05-06,RELEVANT,HIGH,computational,benchmark,Systematic quantitative comparison of protein language models against baselines on standardized multi-mutant landscapes.
10.64898/2026.04.28.721114,Single-cell foundation models reveal context-sensitive cancer programmes under subtype shift,"Wallace, J.; Youssef, G.; Han, N.",bioinformatics,2026-05-01,RELEVANT,HIGH,computational,benchmark,"Systematic evaluation of two foundation models (Geneformer, scGPT) against baselines on cancer subtype classification with interpretability analysis."
10.64898/2026.04.29.721531,SpatialBench: Comparative cross-platform benchmarking of high-resolution spatial transcriptomics using matched mouse lymphoid tissue,"Solano, A. N.; Yip, R. K. H.; Wang, C.; Amann-Zalcenstein, D.; Rajasekhar, P.; Zaman, I.; Motyer, A.; Cmero, M.; Xu, Y.; Pan, Y.; Anttila, C. J. A.; Studniberg, S. I.; Hickey, P. F.; Wang, L.; Sargeant, C. J.; Ling, L.; Chen, Y.; Mishi, R. D.; Ioannidis, L. J.; Good-Jacobson, K. L.; King, H. W.; Rogers, K. L.; Hansen, D. S.; Bowden, R.; Ritchie, M. E.",bioinformatics,2026-05-01,RELEVANT,HIGH,resource,benchmark,Systematic quantitative comparison of spatial transcriptomics platforms on matched biological samples with standardized readouts.
10.64898/2026.04.28.721069,Species-specific transformer models of bacterial gene order and content for genomic surveillance tasks,"Horsfield, S. T.; Wiatrak, M.; McInerney, J. O.; Bentley, S. D.; Colijn, C.; Lees, J. A.",bioinformatics,2026-05-04,RELEVANT,HIGH,computational,foundation_model,Species-specific transformer model (PanBART) trained on bacterial genomic data for transfer to surveillance and epidemiological prediction tasks.
10.64898/2026.04.30.722007,Structure-derived synthetic sequences guide a protein language model toward metalloproteins,"Peteani, G.; Sgueglia, G.; Lemmin, T.; Chino, M.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,new_algorithm,Fine-tuning protein language model with structure-conditioned synthetic sequences to specialize toward metal-binding functionality represents a novel algorithmic approach.
10.64898/2026.04.29.721619,Systematic benchmarking of small variant calling pipelines for long-read RNA sequencing data,"Wang, J.; Robinson, M. D.",bioinformatics,2026-05-02,RELEVANT,HIGH,computational,benchmark,Systematic quantitative comparison of variant-calling pipelines and phasing tools on standardized long-read RNA-seq datasets.
10.1101/2025.04.09.647946,Systematic contextual biases in SegmentNT potentially relevant to other nucleotide transformer models,"Ebbert, M. T. W.; Ho, A.; Page, M. L.; Dutch, B.; Byer, B. K.; Hankins, K. L.; Sabra, H.; Aguzzoli Heberle, B.; Wadsworth, M. E.; Fox, G. A.; Karki, B.; Hickey, C.; Fardo, D. W.; Bumgardner, C.; Jakubek, Y. A.; Steely, C. J.; Miller, J. B.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,benchmark,Systematic characterization and evaluation of biases in a foundation model (SegmentNT/Nucleotide Transformer) with practical recommendations for improving usage.
10.64898/2026.04.30.721941,The Limits of Cross-Species WGCNA: Library Imbalance and Signal Dilution Constrain Effector Gene Recovery in Dual-Organism RNA-seq,"Fenn, A.; Hueckelhoven, R.; Kamal, N.",systems-biology,2026-05-05,RELEVANT,HIGH,computational,benchmark,Systematic evaluation of WGCNA performance across simulated dual-organism RNA-seq conditions with quantitative metrics and recommendations.
10.1101/2025.11.12.688061,Topology Matters: The Trade-off Between Wasserstein Critics and Discriminators in Single-Cell Data Integration,"Reid, K.; Stein-O'Brien, G.; Guven, E.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,benchmark,Systematic quantitative comparison of adversarial objectives (Wasserstein vs. discriminator) for batch correction on standardized scRNA-seq datasets.
10.64898/2026.05.01.722232,Toward a probabilistic definition of chromatin accessible regions at the single-cell level,"Sanchez-Escabias, E.; Rico, D.; Reyes, J. C.",genomics,2026-05-04,RELEVANT,HIGH,computational,new_algorithm,"Proposes novel probabilistic framework for defining chromatin accessibility, replacing arbitrary thresholds with principled Pa distributions."
10.64898/2026.05.01.722206,Uncertainty-aware localization microscopy by variational diffusion,"Seitz, C.; Liu, J.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,new_algorithm,Novel conditional variational diffusion model for single-molecule localization microscopy with uncertainty quantification.
10.64898/2026.04.14.718336,"cellNexus: Quality control, annotation, aggregation and analytical layers for the Human Cell Atlas data","Shen, M.; Gao, Y.; Liu, N.; Bhuva, D.; Milton, M.; Henao, J.; Andrews, J.; Yang, E.; Zhan, C.; Liu, N.; Si, S.; Hutchison, W. J.; Shakeel, M. H.; Morgan, M.; Papenfuss, A. T.; Iskander, J.; Polo, J. M.; Mangiola, S.",bioinformatics,2026-05-05,RELEVANT,HIGH,resource,infrastructure,"Data portal and framework standardizing QC, annotation, and aggregation for the Human Cell Atlas with public web and API access."
10.1101/2025.11.29.691308,multiVIB: A unified probabilistic contrastive learning framework for atlas-scale integration of single-cell multi-omics data,"Xu, Y.; Fleming, S. J.; Wang, B.; Schoenbeck, E. G.; Babadi, M.; Huo, B.-X.",bioinformatics,2026-05-05,RELEVANT,HIGH,computational,new_algorithm,Novel probabilistic contrastive learning framework for multi-omics integration; the model and statistical approach are headline contributions.
10.64898/2026.04.29.721735,spatiAlytica: Viewer-Grounded Multimodal Agentic System for Interactive Spatial Omics Analysis,"Das, A.; Zhang, K.; Song, J.; Han, M.; Chen, A.; Meng, W.; Galloway, H.; Chen, P.-Y.; Jo, S.; Liu, Z.; Hasib, M. M.; Officer, A.; Sinha, H.; Chiu, Y.-C.; Gao, S.-J.; Li, L.; Huang, Y.",bioinformatics,2026-05-04,RELEVANT,HIGH,computational,software_tool,"Interactive software framework for spatial omics analysis; engineering-focused integration of viewer, agent, and code generation components."
10.64898/2026.04.29.721617,A Comprehensive Mathematical Model of Avidity in Cytokine Signaling,"Douglass, E. F.; Bastian, W.; Mochel, J. P.",systems-biology,2026-05-04,RELEVANT,MEDIUM,computational,new_algorithm,Novel mathematical framework for inferring signaling parameters from single-cell and spatial transcriptomic data.
10.64898/2026.04.24.720740,A Minimal Regulatory Spatial Model for Emergent Multicellular Organization in Dissipative Environments,"Zammataro, L.",systems-biology,2026-05-04,RELEVANT,MEDIUM,computational,new_algorithm,"Introduces Evoscope, a spatial computational framework with novel regulatory grammar and representation learning approach for multicellular organization modeling."
